iter	Logloss
0	0.6854844583
1	0.6817117947
2	0.6710383036
3	0.6637140336
4	0.653452852
5	0.6463971374
6	0.6394489891
7	0.6326066423
8	0.6292633933
9	0.619765772
10	0.61467478
11	0.6088513148
12	0.6024722669
13	0.5935985524
14	0.5890893333
15	0.576074032
16	0.5635144404
17	0.5513910651
18	0.5396852813
19	0.5283793027
20	0.517456149
21	0.5124313133
22	0.5106298551
23	0.5037952168
24	0.4936905739
25	0.4839181535
26	0.4776465403
27	0.4714946125
28	0.4654756736
29	0.4611932394
30	0.4524239647
31	0.4439325003
32	0.4357074767
33	0.4277380531
34	0.4200138923
35	0.4150223521
36	0.4076764902
37	0.4061444828
38	0.4046331374
39	0.3999332628
40	0.3953249995
41	0.3919976608
42	0.3875289468
43	0.3849808455
44	0.3834528539
45	0.380278466
46	0.3771462559
47	0.372968295
48	0.3699317295
49	0.3669350741
50	0.3639776719
51	0.3617220901
52	0.3588310639
53	0.3559775718
54	0.3548057014
55	0.353589548
56	0.3524345992
57	0.3512941329
58	0.3485353753
59	0.3458120165
60	0.343123481
61	0.3404692036
62	0.3378486294
63	0.3352612135
64	0.3327064208
65	0.330183726
66	0.3291613891
67	0.3266823787
68	0.3242342567
69	0.3218165292
70	0.3194287109
71	0.3170703257
72	0.3161179956
73	0.3137995976
74	0.3128693099
75	0.3105899357
76	0.3096810149
77	0.3074397306
78	0.3052255822
79	0.3030381434
80	0.3021698687
81	0.3000184698
82	0.2978928056
83	0.295792475
84	0.2937170841
85	0.2916662459
86	0.2896395807
87	0.2876367154
88	0.2856572835
89	0.2837009253
90	0.2817672875
91	0.2798560228
92	0.2779667906
93	0.2760992561
94	0.2742530903
95	0.2735169009
96	0.2716995917
97	0.2699028999
98	0.2681265158
99	0.2663701351
