iter	Passed	Remaining
0	175	17325
1	189	9289
2	205	6636
3	223	5366
4	244	4637
5	266	4168
6	290	3861
7	314	3621
8	343	3476
9	370	3332
10	381	3083
11	409	2999
12	435	2912
13	453	2783
14	458	2595
15	475	2494
16	489	2389
17	502	2288
18	514	2191
19	525	2100
20	543	2043
21	562	1996
22	589	1975
23	624	1976
24	640	1922
25	661	1883
26	682	1844
27	712	1831
28	749	1835
29	787	1836
30	805	1792
31	824	1751
32	847	1721
33	867	1683
34	887	1648
35	918	1633
36	935	1593
37	966	1576
38	997	1560
39	1033	1550
40	1067	1535
41	1096	1514
42	1134	1504
43	1164	1481
44	1186	1449
45	1214	1425
46	1248	1407
47	1277	1383
48	1340	1395
49	1390	1390
50	1440	1384
51	1508	1392
52	1544	1369
53	1595	1359
54	1625	1329
55	1655	1300
56	1688	1273
57	1721	1246
58	1758	1222
59	1797	1198
60	1832	1171
61	1868	1145
62	1897	1114
63	1930	1085
64	1960	1055
65	1991	1025
66	2022	996
67	2046	963
68	2069	929
69	2091	896
70	2113	863
71	2135	830
72	2156	797
73	2180	766
74	2200	733
75	2221	701
76	2238	668
77	2254	635
78	2268	603
79	2286	571
80	2302	540
81	2319	509
82	2336	478
83	2353	448
84	2368	417
85	2384	388
86	2402	358
87	2419	329
88	2435	301
89	2455	272
90	2473	244
91	2488	216
92	2505	188
93	2522	161
94	2543	133
95	2565	106
96	2597	80
97	2617	53
98	2634	26
99	2652	0
